Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2025-12-05 14:30:00+00:00,184.03500366210938,184.27999877929688,183.66000366210938,183.86000061035156,4514856
2025-12-05 14:31:00+00:00,184.19509887695312,184.66000366210938,184.00999450683594,184.05999755859375,746101
2025-12-05 14:32:00+00:00,183.8000030517578,184.22999572753906,183.6999969482422,184.1750030517578,520469
2025-12-05 14:33:00+00:00,184.17999267578125,184.17999267578125,183.75999450683594,183.77999877929688,406481
2025-12-05 14:34:00+00:00,183.54989624023438,184.1999969482422,183.54949951171875,184.1511993408203,487335
2025-12-05 14:35:00+00:00,183.11410522460938,183.75,183.0500030517578,183.55999755859375,762302
2025-12-05 14:36:00+00:00,183.02999877929688,183.22000122070312,182.86000061035156,183.10000610351562,704482
2025-12-05 14:37:00+00:00,182.88999938964844,183.27850341796875,182.85499572753906,183.0399932861328,581552
2025-12-05 14:38:00+00:00,182.6699981689453,183.0399932861328,182.60000610351562,182.89999389648438,498195
2025-12-05 14:39:00+00:00,182.10000610351562,182.74530029296875,182.05999755859375,182.64999389648438,669931
2025-12-05 14:40:00+00:00,181.5749969482422,182.1199951171875,181.43299865722656,182.10000610351562,1081788
2025-12-05 14:41:00+00:00,181.22999572753906,181.8300018310547,181.05999755859375,181.57000732421875,872671
2025-12-05 14:42:00+00:00,181.48049926757812,181.55999755859375,181.02000427246094,181.22000122070312,875783
2025-12-05 14:43:00+00:00,181.17999267578125,181.73989868164062,181.11000061035156,181.5,720309
2025-12-05 14:44:00+00:00,181.24000549316406,181.3699951171875,180.91000366210938,181.16819763183594,725324
2025-12-05 14:45:00+00:00,181.6199951171875,181.7100067138672,181.25,181.25,680028
2025-12-05 14:46:00+00:00,181.875,181.97999572753906,181.5,181.66000366210938,657775
2025-12-05 14:47:00+00:00,181.8209991455078,182.0399932861328,181.61000061035156,181.87010192871094,509110
2025-12-05 14:48:00+00:00,181.55409240722656,181.8498992919922,181.52000427246094,181.82000732421875,354504
2025-12-05 14:49:00+00:00,181.68960571289062,181.68960571289062,181.27999877929688,181.5399932861328,550815
2025-12-05 14:50:00+00:00,181.56300354003906,181.73989868164062,181.30999755859375,181.68359375,328901
2025-12-05 14:51:00+00:00,181.42999267578125,181.75,181.13999938964844,181.55999755859375,497601
2025-12-05 14:52:00+00:00,181.7299041748047,181.82000732421875,181.39999389648438,181.39999389648438,381844
2025-12-05 14:53:00+00:00,181.8914031982422,182.02000427246094,181.72999572753906,181.72999572753906,457519
2025-12-05 14:54:00+00:00,182.02999877929688,182.22000122070312,181.8350067138672,181.89990234375,526765
2025-12-05 14:55:00+00:00,181.88609313964844,182.09500122070312,181.74000549316406,182.03500366210938,419864
2025-12-05 14:56:00+00:00,181.5399932861328,181.9199981689453,181.33009338378906,181.88980102539062,494479
2025-12-05 14:57:00+00:00,181.7541961669922,181.77000427246094,181.4199981689453,181.5399932861328,336548
2025-12-05 14:58:00+00:00,181.83099365234375,181.98989868164062,181.72999572753906,181.75,391426
2025-12-05 14:59:00+00:00,181.9600067138672,181.97000122070312,181.77499389648438,181.8300018310547,310070
2025-12-05 15:00:00+00:00,181.63999938964844,182.0399932861328,181.57000732421875,181.9499969482422,461461
2025-12-05 15:01:00+00:00,182.2449951171875,182.25970458984375,181.6199951171875,181.63949584960938,432657
2025-12-05 15:02:00+00:00,182.51260375976562,182.6199951171875,182.22659301757812,182.25,694106
2025-12-05 15:03:00+00:00,182.47500610351562,182.6699981689453,182.44000244140625,182.52000427246094,456130
2025-12-05 15:04:00+00:00,182.82000732421875,182.82000732421875,182.3800048828125,182.4600067138672,422563
2025-12-05 15:05:00+00:00,182.72720336914062,183.0500030517578,182.67999267578125,182.82479858398438,636120
2025-12-05 15:06:00+00:00,182.8800048828125,182.97500610351562,182.72000122070312,182.72349548339844,374316
2025-12-05 15:07:00+00:00,182.59500122070312,182.86500549316406,182.5850067138672,182.86000061035156,380742
2025-12-05 15:08:00+00:00,182.72000122070312,182.80999755859375,182.50999450683594,182.6051025390625,345670
2025-12-05 15:09:00+00:00,182.97340393066406,183.02000427246094,182.69000244140625,182.71499633789062,379163
2025-12-05 15:10:00+00:00,183.07650756835938,183.17999267578125,182.97000122070312,182.97970581054688,419426
2025-12-05 15:11:00+00:00,183.1658935546875,183.19000244140625,182.91000366210938,183.0800018310547,361087
2025-12-05 15:12:00+00:00,183.24819946289062,183.25999450683594,183.01010131835938,183.16409301757812,341211
2025-12-05 15:13:00+00:00,183.0749969482422,183.27000427246094,183.02200317382812,183.2449951171875,318606
2025-12-05 15:14:00+00:00,183.14329528808594,183.19000244140625,182.9700927734375,183.0800018310547,333547
2025-12-05 15:15:00+00:00,182.89500427246094,183.16200256347656,182.86000061035156,183.13999938964844,353406
2025-12-05 15:16:00+00:00,182.97500610351562,183.02999877929688,182.83999633789062,182.88999938964844,250339
2025-12-05 15:17:00+00:00,183.20150756835938,183.22000122070312,182.9199981689453,182.97509765625,293737
2025-12-05 15:18:00+00:00,183.0373992919922,183.2100067138672,183.02000427246094,183.2095947265625,243706
2025-12-05 15:19:00+00:00,182.7100067138672,183.09010314941406,182.6750030517578,183.02999877929688,413644
